ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
1997-12-31;237798.7788216973;292589.933061555;387511.32945297804;237798.7788216973;237798.7788216973;100146.4629696106;100146.4629696106;100146.4629696106;100146.4629696106;100146.4629696106;100146.4629696106;0.0;0.0;0.0;337945.2417913079
1998-12-31;266419.8477327596;314670.69721602066;409299.383647942;266419.8477327596;266419.8477327596;95792.93545280052;95792.93545280052;95792.93545280052;95792.93545280052;95792.93545280052;95792.93545280052;0.0;0.0;0.0;362212.78318556014
1999-12-31;295040.91403755534;346177.35853528045;439624.5544228753;295040.91403755534;295040.91403755534;96126.17695731533;96126.17695731533;96126.17695731533;96126.17695731533;96126.17695731533;96126.17695731533;0.0;0.0;0.0;391167.09099487064
2000-12-31;323740.3941305779;384261.69021091517;475096.7008952313;323740.3941305779;323740.3941305779;109177.22533482697;109177.22533482697;109177.22533482697;109177.22533482697;109177.22533482697;109177.22533482697;0.0;0.0;0.0;432917.6194654049
2001-12-31;352361.44522667484;407228.34904509224;496258.4185277528;352361.44522667484;352361.44522667484;100146.46296966959;100146.46296966959;100146.46296966959;100146.46296966959;100146.46296966959;100146.46296966959;0.0;0.0;0.0;452507.90819634445
2002-12-31;380978.7389689181;429769.1455530539;524693.2854660104;380978.7389689181;380978.7389689181;95792.93545282051;95792.93545282051;95792.93545282051;95792.93545282051;95792.93545282051;95792.93545282051;0.0;0.0;0.0;476771.6744217386
2003-12-31;409595.91673652094;458377.78547630674;556548.4325084871;409595.91673652094;409595.91673652094;96126.17695728615;96126.17695728615;96126.17695728615;96126.17695728615;96126.17695728615;96126.17695728615;0.0;0.0;0.0;505722.0936938071
2004-12-31;438291.4966953077;499112.2049958616;594873.7747141079;438291.4966953077;438291.4966953077;109177.22533474547;109177.22533474547;109177.22533474547;109177.22533474547;109177.22533474547;109177.22533474547;0.0;0.0;0.0;547468.7220300531
2005-12-31;466908.67453925114;519451.9199364667;615686.780824568;466908.67453925114;466908.67453925114;100146.46296962818;100146.46296962818;100146.46296962818;100146.46296962818;100146.46296962818;100146.46296962818;0.0;0.0;0.0;567055.1375088793
2006-12-31;495525.85513670376;541614.5473542586;633763.3755253839;495525.85513670376;495525.85513670376;95792.93545277829;95792.93545277829;95792.93545277829;95792.93545277829;95792.93545277829;95792.93545277829;0.0;0.0;0.0;591318.790589482
2007-12-31;524143.03600453393;572834.799121148;665230.5542282703;524143.03600453393;524143.03600453393;96126.17695730654;96126.17695730654;96126.17695730654;96126.17695730654;96126.17695730654;96126.17695730654;0.0;0.0;0.0;620269.2129618404
2008-12-31;552851.9191092917;616224.7203602514;714635.6902502566;552851.9191092917;552851.9191092917;109177.2253347185;109177.2253347185;109177.2253347185;109177.2253347185;109177.2253347185;109177.2253347185;0.0;0.0;0.0;662029.1444440102
2009-12-31;581525.3192220358;633430.1153987381;730691.3932244732;581525.3192220358;581525.3192220358;100146.46296962837;100146.46296962837;100146.46296962837;100146.46296962837;100146.46296962837;100146.46296962837;0.0;0.0;0.0;681671.7821916642
2010-12-31;622988.7041503709;672920.28022426;764170.6984815724;622988.7041503709;622988.7041503709;95792.93545278565;95792.93545278565;95792.93545278565;95792.93545278565;95792.93545278565;95792.93545278565;0.0;0.0;0.0;718781.6396031566
2011-12-31;664470.6417984905;712772.8428267713;803533.4019428287;664470.6417984905;664470.6417984905;96126.1769573004;96126.1769573004;96126.1769573004;96126.1769573004;96126.1769573004;96126.1769573004;0.0;0.0;0.0;760596.8187557909
2012-12-31;706112.3781957099;772701.2497318052;859041.0806885175;706112.3781957099;706112.3781957099;109177.22533474292;109177.22533474292;109177.22533474292;109177.22533474292;109177.22533474292;109177.22533474292;0.0;0.0;0.0;815289.6035304528
2013-12-31;747644.9958635053;803045.7581397255;892495.378784909;747644.9958635052;747644.9958635052;100146.46296959848;100146.46296959848;100146.46296959848;100146.46296959848;100146.46296959848;100146.46296959848;0.0;0.0;0.0;847791.4588331038
2014-12-31;789177.6135313004;835378.4734962449;929827.5572208801;789177.6135313004;789177.6135313004;95792.93545281242;95792.93545281242;95792.93545281242;95792.93545281242;95792.93545281242;95792.93545281242;0.0;0.0;0.0;884970.5489841129
2015-12-31;830710.2311990958;884242.6998608799;975056.9036530728;830710.2311990958;830710.2311990958;96126.17695732173;96126.17695732173;96126.17695732173;96126.17695732173;96126.17695732173;96126.17695732173;0.0;0.0;0.0;926836.4081564175
2016-12-31;872356.6368605016;935927.4899038738;1031681.0552842029;872356.6368605016;872356.6368605016;109177.22533475701;109177.22533475701;109177.22533475701;109177.22533475701;109177.22533475701;109177.22533475701;0.0;0.0;0.0;981533.8621952586
2017-12-31;913889.2545282969;966807.0476962408;1063014.7694044148;913889.2545282969;913889.2545282969;100146.46296961358;100146.46296961358;100146.46296961358;100146.46296961358;100146.46296961358;100146.46296961358;0.0;0.0;0.0;1014035.7174979105
2018-12-31;955421.8721960923;1003725.5242887499;1095727.6288302436;954153.5412443622;956991.2705292053;95792.93545281605;95792.93545281605;95792.93545281605;95792.93545281605;95792.93545281605;95792.93545281605;0.0;0.0;0.0;1051214.8076489083
2019-12-31;996954.4898638874;1047236.5781408073;1138867.4114592276;993062.6240104409;1000994.1051228567;96126.17695730668;96126.17695730668;96126.17695730668;96126.17695730668;96126.17695730668;96126.17695730668;0.0;0.0;0.0;1093080.666821194
2020-12-31;1038600.8955252932;1100777.9901692767;1194501.6395509697;1031855.7304850698;1045907.1004260813;109177.22533472514;109177.22533472514;109177.22533472514;109177.22533472514;109177.22533472514;109177.22533472514;0.0;0.0;0.0;1147778.1208600183
2021-12-31;1080133.5131930884;1131597.9859220462;1228823.2145062967;1069335.2751660228;1092047.4897095354;100146.46296955214;100146.46296955214;100146.46296955214;100146.46296955214;100146.46296955214;100146.46296955214;0.0;0.0;0.0;1180279.9761626404
2022-12-31;1121666.130860884;1169494.66664471;1269626.619648211;1106239.3157655974;1137432.6460927804;95792.9354527994;95792.9354527994;95792.9354527994;95792.9354527994;95792.9354527994;95792.9354527994;0.0;0.0;0.0;1217459.0663136833
2023-12-31;1163198.7485286794;1210885.4463978843;1306789.1686887597;1141908.1109122655;1184122.1320738923;96126.17695731115;96126.17695731115;96126.17695731115;96126.17695731115;96126.17695731115;96126.17695731115;0.0;0.0;0.0;1259324.9254859905
2024-12-31;1204845.1541900851;1261233.0558499866;1363175.2026953972;1178376.2950648998;1231271.3116380796;109177.22533481439;109177.22533481439;109177.22533481439;109177.22533481439;109177.22533481439;109177.22533481439;0.0;0.0;0.0;1314022.3795248994
2025-12-31;1246377.7718578803;1286359.364135192;1401769.7869642607;1214553.8080715965;1277498.6673215816;100146.4629696142;100146.4629696142;100146.4629696142;100146.4629696142;100146.4629696142;100146.4629696142;0.0;0.0;0.0;1346524.2348274945
2026-12-31;1287910.3895256757;1325447.5087242266;1440031.5651567536;1250127.5418787715;1324095.88254704;95792.93545281689;95792.93545281689;95792.93545281689;95792.93545281689;95792.93545281689;95792.93545281689;0.0;0.0;0.0;1383703.3249784927
2027-12-31;1329443.0071934708;1365149.1358739207;1488099.5951522249;1284963.181275541;1370388.0150516045;96126.17695731812;96126.17695731812;96126.17695731812;96126.17695731812;96126.17695731812;96126.17695731812;0.0;0.0;0.0;1425569.184150789
2028-12-31;1371089.4128548766;1411490.2494003738;1548696.8347357016;1320451.8110543003;1418629.0600320036;109177.22533477806;109177.22533477806;109177.22533477806;109177.22533477806;109177.22533477806;109177.22533477806;0.0;0.0;0.0;1480266.6381896546
2029-12-31;1412622.030522672;1442520.1236416597;1584302.8888351999;1354405.650941426;1466324.4107055892;100146.46296954756;100146.46296954756;100146.46296954756;100146.46296954756;100146.46296954756;100146.46296954756;0.0;0.0;0.0;1512768.4934922196
